,classcode,oneway,streetname,cnn,from_cnn,to_cnn,from_cnn_coords,to_cnn_coords,length
3073,5,B,VALLEJO ST,13092000,25325000,25332000,"[-122.40720639396807, 37.79877630946927]","[-122.40786949638931, 37.79869686129798]",58.8909512316
3074,5,B,DE LONG ST,4647000,22484000,22483000,"[-122.4625552073327, 37.7096571629624]","[-122.46322518380506, 37.70965152190577]",58.9032138597
3075,5,B,MOUNT VERNON AVE,9431000,22176000,22177000,"[-122.44860518968017, 37.71839560464406]","[-122.44916221105106, 37.718690293223844]",58.9052954558
3076,5,B,BARNEVELD AVE,2737000,20804000,20760000,"[-122.40318603603151, 37.74188588184949]","[-122.40361074408308, 37.74147572481638]",58.9093082007
3077,4,B,PARNASSUS AVE,10292002,54182000,27060000,"[-122.45603889530828, 37.763994844126145]","[-122.45666991172976, 37.76381468854904]",58.9384078132
3078,5,T,14TH ST,583000,24368000,24370000,"[-122.41855593263575, 37.76835975114647]","[-122.41922493205324, 37.76831934920634]",58.9386258574
3079,5,B,BERNAL HEIGHTS BLVD,2946000,21102000,33298000,"[-122.41006822414145, 37.74174500764473]","[-122.40944546058509, 37.74194215382447]",58.9476867795
3080,5,B,BURNETT AVE,3383000,26119000,32972000,"[-122.4446397350815, 37.75313631621947]","[-122.4448160948816, 37.75262450088808]",58.9485541568
3081,6,F,I-280 S ON RAMP,19335000,52243000,52265000,"[-122.39257792465348, 37.75194219876471]","[-122.39199926975303, 37.75167349218047]",58.9625866415
3082,5,B,MARSILY ST,8782000,21850000,51064000,"[-122.42769501567244, 37.73355362821574]","[-122.42761637456833, 37.733026510227575]",58.9823754153
3083,5,B,MACALLA RD,14216000,34139000,34140000,"[-122.36980087550396, 37.81187361812209]","[-122.36914929620154, 37.81174371887919]",58.9966765975
3084,3,F,NEW MONTGOMERY ST,9545000,24599000,24598000,"[-122.39997496189874, 37.78701078765778]","[-122.39950216344393, 37.78663354230479]",59.0040771067
3085,0,B,DAVENPORT LN,12938000,51911000,33677000,"[-122.42397607502828, 37.73142179201264]","[-122.42393066840681, 37.73089202024125]",59.0060517939
3086,5,B,VELASCO AVE,13190000,20373000,20400000,"[-122.41414540855543, 37.708483878952165]","[-122.41477786274922, 37.70866175395921]",59.0109312071
3087,5,F,HAGIWARA TEA GARDEN DR,12014000,32853000,27265000,"[-122.46957139372496, 37.76971925817659]","[-122.46975824031963, 37.76920905636749]",59.0241557831
3088,4,F,MARINA BLVD,8709202,33547000,33625000,"[-122.44780830249164, 37.80510347553446]","[-122.44827914540367, 37.80472422499186]",59.0351045081
3089,0,B,WELDON ST,13568000,52011000,52012000,"[-122.40957423568695, 37.73457155211276]","[-122.4091919617687, 37.73413461381844]",59.0444460204
3090,3,F,MARKET ST,8758202,30754000,30755000,"[-122.42218643886328, 37.77290912250792]","[-122.42261969061566, 37.77250281741758]",59.049630091
3091,5,F,LAFAYETTE ST,7937000,24362000,24361000,"[-122.4174511034197, 37.77313493245906]","[-122.41691282523468, 37.77281653318368]",59.0544280794
3092,5,B,KIRKWOOD AVE,7892000,50762000,20222000,"[-122.38762984329674, 37.73671959397895]","[-122.38809082558129, 37.737106376754205]",59.0641945519
